Time Temp Temp Planar_Temp VRD_0_Temp VRD_1_Temp Fan_1 Fan_2A Fan_2B Fan_3A Fan_3B Fan_4A Fan_4B Fan_5A Fan_5B Fan_Redundancy
0 24 27 23 16 18 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
8 24 27 23 16 18 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
16 24 28 22 16 18 3075 7575 5250 7425 5400 7575 5250 7875 5250 54h
24 24 28 22 16 18 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
32 24 30 22 16 18 3150 7575 5175 7425 5400 7575 5175 7875 5250 54h
40 26 31 22 16 18 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
48 25 31 22 16 18 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
56 25 32 22 16 18 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
64 27 31 22 16 18 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
72 25 29 22 16 18 3150 7575 5250 7425 5325 7500 5250 7875 5250 54h
80 25 28 22 16 18 3075 7575 5250 7500 5325 7575 5250 7950 5250 54h
88 24 28 22 16 18 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
96 24 28 22 16 18 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
104 24 28 22 16 18 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
112 24 28 22 16 18 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
120 24 28 22 16 18 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
128 24 28 22 16 18 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
136 24 28 22 16 18 3150 7500 5250 7500 5325 7500 5250 7950 5250 54h
144 24 28 22 16 18 3150 7500 5250 7425 5400 7500 5250 7950 5250 54h
152 24 28 22 16 18 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
160 25 31 22 16 18 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
168 26 31 22 16 18 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
176 25 31 22 16 18 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
184 28 29 22 16 18 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
192 28 31 22 16 18 3150 7500 5250 7500 5400 7500 5250 7950 5250 54h
200 25 29 22 16 18 3075 7500 5250 7500 5325 7575 5250 7950 5250 54h
