timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,    4.276,  0.4694,   33.85,   6.433,   4.824
40,1,   0.2566, 0.09914,    34.1,   5.743,   4.307
40,2,    2.945,  0.1451,    29.6,   5.448,   4.086
40,3,   0.0445, 0.08644,   32.35,   5.413,    4.06
45,0,    5.311,  0.5423,   33.85,   6.617,   4.963
45,1,    1.231,  0.1144,   34.73,   6.012,   4.509
45,2,    3.918,  0.1708,    29.6,   5.615,   4.211
45,3,  0.05109, 0.09914,   32.35,   5.417,   4.063
50,0,    6.849,  0.5597,   33.85,   6.876,   5.157
50,1,    2.588,   0.118,   35.48,   6.363,   4.773
50,2,    4.888,  0.1855,   29.73,     5.8,    4.35
50,3,  0.05179,  0.1008,   32.48,   5.438,   4.078
55,0,    8.459,  0.5723,   33.85,   7.147,    5.36
55,1,    3.943,  0.1205,   35.48,    6.59,   4.942
55,2,    5.856,  0.1973,   29.73,   5.963,   4.472
55,3,  0.05249,  0.1024,   32.48,   5.438,   4.079
60,0,    10.07,  0.5846,   33.85,   7.417,   5.563
60,1,    5.299,   0.123,   35.35,   6.795,   5.097
60,2,    6.824,  0.2092,   29.73,   6.126,   4.595
60,3,  0.05319,   0.104,   32.48,   5.439,   4.079
65,0,    10.81,  0.5973,    33.1,   7.418,   5.563
65,1,     7.54,  0.1252,    36.1,   7.294,   5.471
65,2,    7.792,   0.221,   29.85,   6.311,   4.733
65,3,  0.05393,  0.1056,   32.48,   5.439,   4.079
70,0,    11.61,  0.6056,    33.1,   7.553,   5.665
70,1,    10.68,  0.1274,   36.85,   7.943,   5.957
70,2,    7.797,  0.2286,    29.1,   6.188,   4.641
70,3,  0.05469,  0.1074,   32.48,    5.44,    4.08
75,0,    12.42,   0.614,    33.1,   7.689,   5.767
75,1,    13.82,  0.1294,   36.85,   8.466,   6.349
75,2,    7.802,  0.2363,    29.1,    6.19,   4.642
75,3,   0.0555,  0.1093,   32.48,    5.44,    4.08
80,0,    13.23,  0.6223,    33.1,   7.826,   5.869
80,1,    16.95,  0.1314,   36.85,   8.989,   6.742
80,2,    7.807,  0.2438,    29.1,   6.192,   4.644
80,3,  0.05633,  0.1113,   32.35,    5.42,   4.065
85,0,    14.04,  0.6309,    33.1,   7.962,   5.972
85,1,    20.08,  0.1334,   36.85,   9.511,   7.134
85,2,    7.811,  0.2517,    29.1,   6.194,   4.645
85,3,   0.0572,  0.1134,   32.23,   5.399,   4.049
90,0,    14.85,  0.6372,    33.1,   8.098,   6.073
90,1,    23.22,  0.1354,   36.85,   10.03,   7.525
90,2,    7.814,  0.2569,    29.1,   6.195,   4.646
90,3,   0.0581,  0.1157,   32.23,     5.4,    4.05
95,0,    15.66,  0.6434,    33.1,   8.234,   6.176
95,1,    26.35,   0.137,   36.85,   10.56,   7.917
95,2,    7.817,  0.2611,    29.1,   6.196,   4.647
95,3,  0.05905,   0.118,   32.23,     5.4,    4.05
100,0,    16.47,  0.6496,    33.1,   8.371,   6.278
100,1,    29.49,  0.1386,   36.85,   11.08,   8.309
100,2,     7.82,  0.2652,    29.1,   6.197,   4.648
100,3,  0.06003,  0.1206,    32.1,    5.38,   4.035
105,0,    17.29,  0.6557,    33.1,   8.507,    6.38
105,1,    32.61,  0.1403,   36.85,    11.6,     8.7
105,2,    7.822,  0.2692,    29.1,   6.199,   4.649
