Benchmark,ULEcore0,ULEcore1,ULEcore2,ULEcore3,ULEruntime,TAScore0,TAScore1,TAScore2,TAScore3,TASruntime
11,35.2316257,38.91011709,32.81200258,33.96844516,1544,34.9354219,38.75273311,32.06958895,33.66411771,1544
12,34.92152823,39.45317686,32.79655561,33.94596348,2309.5,34.92251628,39.42608014,32.97943721,34.15052034,2320
13,41.02797072,42.11050224,38.49711364,39.77311746,2975,41.28926462,42.51431083,38.15806982,39.83065361,2980
14,40.78781053,41.80715789,36.32621053,38.92682105,1200,39.61653872,40.75395314,35.82318711,38.19028045,1200
15,40.43733404,41.74786091,37.18106428,38.97006322,2375,39.84049102,41.20237649,36.41090188,38.19821805,2389.5
21,46.88106316,47.93871579,44.06278947,45.9053193,365.25,34.9408,37.3224,32.352,34.78426667,366.26
22,45.88203801,46.62798325,41.81301825,44.43255189,449.08,37.78363108,39.24127775,34.54887156,36.46508325,487.33
23,45.58826446,46.57107438,42.6361157,44.56136364,1135.43,38.30078431,40.43385621,36.11294118,37.07372549,1169.16
24,43.56468599,45.10847335,41.18461248,42.44802192,584.25,37.35709091,39.72609091,37.38272727,37.46972727,618.06
25,47.47609251,49.19808205,44.69524907,47.37646194,1122.06,36.6122807,40.53251462,34.25315789,35.3271345,1141.57
26,44.16936803,45.25197026,41.08795539,42.93089219,990.38,40.58232673,41.79034653,36.79792079,39.59643564,1363.11
27,47.1,49.98221154,44.56442308,46.1,549.89,34.88538462,38.90087912,31.68923077,34.13428571,552.3
