Time CPU_0_Temp CPU_1_Temp Ambient_Temp0 Ambient_Temp1 Blower_Fan_0 Blower_Fan_1 Axial_Fan_0 Axial_Fan_1
0 41 47 32 44 3645.600 3645.600 9656 9656
5 41 47 32 44 3645.600 3645.600 9656 9656
10 41 47 32 44 3645.600 3645.600 9656 9372
15 41 47 32 44 3645.600 3567.200 9656 9656
20 41 47 32 44 3645.600 3567.200 9656 9656
25 41 47 32 44 3645.600 3645.600 9656 9656
30 41 47 32 44 3645.600 3645.600 9656 9656
35 41 47 32 44 3645.600 3567.200 9656 9656
40 41 48 32 44 3645.600 3645.600 9656 9656
45 41 47 32 44 3645.600 3567.200 9656 9372
50 41 47 32 44 3567.200 3567.200 9940 9656
55 41 47 32 44 3645.600 3645.600 9656 9656
60 41 47 32 44 3645.600 3645.600 9372 9372
65 41 48 32 44 3724 3645.600 9372 9656
70 41 47 32 44 3645.600 3567.200 9656 9656
75 41 47 32 44 3724 3645.600 9656 9372
80 41 47 32 44 3645.600 3645.600 9656 9656
85 41 47 32 44 3645.600 3645.600 9656 9656
90 41 48 32 44 3645.600 3645.600 9656 9372
95 41 47 32 44 3645.600 3567.200 9372 9372
100 41 48 32 44 3567.200 3567.200 9656 9656
105 41 47 32 44 3645.600 3645.600 9656 9372
110 41 47 32 44 3724 3567.200 9656 9372
115 41 47 32 44 3567.200 3567.200 9656 9656
120 41 47 32 44 3567.200 3645.600 9656 9656
125 41 47 32 44 3645.600 3567.200 9656 9372
130 41 48 32 44 3645.600 3567.200 9656 9372
135 41 47 32 44 3645.600 3645.600 9656 9656
140 41 47 32 44 3645.600 3645.600 9656 9656
145 41 48 32 44 3645.600 3645.600 9656 9656
150 41 47 32 44 3645.600 3645.600 9656 9656
155 41 47 32 44 3645.600 3645.600 9656 9656
160 41 47 32 44 3645.600 3567.200 9656 9372
165 41 47 32 44 3645.600 3645.600 9656 9656
170 41 47 32 44 3645.600 3645.600 9656 9656
175 41 48 32 44 3645.600 3567.200 9656 9656
180 41 47 32 44 3724 3567.200 9656 9656
185 41 47 32 44 3645.600 3645.600 9656 9656
190 41 48 32 44 3645.600 3645.600 9372 9656
195 41 48 32 44 3645.600 3645.600 9656 9656
200 41 48 32 44 3645.600 3645.600 9656 9656
